# Calculated global means from NOAA/GML data.
# Flask pair means, in situ hourly data, and monthly means available through GML's website.
# https://gml.noaa.gov/hats/data.html
#
# Contact:
#   Stephen Montzka: Stephen.Montzka@noaa.gov
#   Isaac Vimont: Isaac.Vimont@noaa.gov
#   Geoff Dutton: Geoff.Dutton@noaa.gov
#
# Data source: NOAA Global Monitoring Laboratory
#   https://gml.noaa.gov/hats/data.html
#
# Data file: GML_annual_means.csv
# Generated on: 2026-05-18 11:06:46
#
year,CFC11,CFC12,CFC113,CH3CCl3,CCl4,C2Cl4,CH2Cl2,HCFC22,HCFC141b,HCFC142b,H1211,H1301,H2402,CH3Br,CH3Cl,CFC115,HCFC124,HCFC133a,CFC13,HFC32,HFC125,HFC134a,CH2ClCH2Cl,HFC143a,HFC152a,HFC227ea,HFC365mfc,HFC236fa,CF4,SF6
2002-07-01,254.496,542.887,80.481,28.925,97.103,2.123,19.535,155.594,16.164,13.724,4.263,NaN,0.486,8.192,546.973,NaN,NaN,NaN,NaN,NaN,NaN,23.577,NaN,NaN,2.511,NaN,NaN,NaN,NaN,5.103
2003-07-01,252.394,542.647,79.764,24.080,96.022,1.932,19.627,160.392,17.010,14.331,4.291,NaN,0.485,8.039,542.244,NaN,NaN,NaN,NaN,NaN,NaN,27.689,NaN,NaN,2.900,NaN,NaN,NaN,NaN,5.337
2004-07-01,250.294,541.934,79.073,20.030,95.056,1.811,19.931,165.533,17.454,14.910,4.312,NaN,0.479,7.863,544.665,NaN,NaN,NaN,NaN,NaN,NaN,32.302,NaN,NaN,3.507,NaN,NaN,NaN,NaN,5.559
2005-07-01,248.342,541.021,78.526,16.780,93.910,1.761,21.081,172.121,17.825,15.647,4.316,NaN,0.478,7.713,542.023,NaN,NaN,NaN,NaN,NaN,NaN,37.012,NaN,NaN,4.128,NaN,NaN,NaN,NaN,5.785
2006-07-01,246.129,539.053,77.774,14.054,92.751,1.665,22.625,179.039,18.575,16.678,4.290,NaN,0.473,7.651,548.482,NaN,NaN,NaN,NaN,NaN,NaN,41.228,NaN,NaN,4.809,NaN,NaN,NaN,NaN,6.039
2007-07-01,243.956,536.640,76.908,11.797,91.504,1.619,24.656,187.426,19.019,17.945,4.236,3.154,0.465,7.510,549.969,NaN,NaN,NaN,NaN,NaN,6.025,45.780,NaN,8.172,5.551,NaN,NaN,NaN,NaN,6.321
2008-07-01,242.030,534.488,76.158,9.893,89.874,1.610,25.133,195.259,19.630,19.116,4.165,3.178,0.463,7.263,548.780,NaN,NaN,NaN,NaN,NaN,7.037,50.131,NaN,9.271,6.011,NaN,NaN,NaN,NaN,6.613
2009-07-01,240.252,531.171,75.653,8.310,88.884,1.432,27.322,202.472,20.128,19.786,4.110,3.200,0.463,7.087,545.291,NaN,NaN,NaN,NaN,2.953,8.155,54.902,NaN,10.355,6.112,NaN,NaN,NaN,NaN,6.892
2010-07-01,238.172,528.096,74.919,6.915,87.715,1.339,28.883,209.883,20.835,20.571,4.034,3.226,0.456,7.100,540.482,NaN,NaN,NaN,NaN,4.081,9.487,60.310,NaN,11.490,6.476,NaN,0.529,NaN,NaN,7.178
2011-07-01,236.256,525.564,74.253,5.776,86.444,1.215,29.472,215.961,21.929,21.282,3.964,3.244,0.450,7.075,542.166,NaN,NaN,NaN,NaN,4.598,11.125,65.450,NaN,12.757,6.967,0.753,0.588,NaN,NaN,7.464
2012-07-01,234.275,522.443,73.518,4.770,85.429,1.262,34.255,221.160,22.820,21.593,3.865,3.291,0.443,6.931,548.973,NaN,NaN,NaN,NaN,5.625,12.837,70.255,NaN,14.033,6.968,0.842,0.643,NaN,NaN,7.756
2013-07-01,232.693,519.305,72.872,3.985,84.285,1.250,37.962,226.404,23.532,21.926,3.758,3.312,0.436,6.708,543.865,NaN,NaN,NaN,NaN,6.964,14.770,75.245,NaN,15.381,6.830,0.934,0.699,NaN,NaN,8.084
2014-07-01,231.664,516.799,72.317,3.364,83.084,1.293,39.019,231.980,24.170,21.909,3.662,3.315,0.430,6.711,553.473,NaN,NaN,NaN,NaN,8.450,16.682,80.883,NaN,16.820,6.801,1.029,0.767,NaN,NaN,8.434
2015-07-01,230.372,513.690,71.733,2.839,81.823,1.242,38.706,235.473,24.414,21.958,3.559,3.320,0.424,6.829,561.331,8.530,1.129,0.456,NaN,10.280,19.007,86.609,NaN,18.231,6.849,1.124,0.838,0.143,82.463,8.754
2016-07-01,229.403,510.205,71.109,2.407,80.841,1.223,41.027,239.492,24.619,22.116,3.457,3.322,0.418,6.709,554.057,8.585,1.087,0.477,3.361,12.471,21.588,92.860,NaN,19.861,6.872,1.233,0.908,0.153,83.337,9.085
2017-07-01,228.714,507.264,70.589,2.037,79.769,1.212,42.547,242.841,24.451,22.093,3.363,3.323,0.411,6.641,549.419,8.617,1.035,0.479,3.381,15.124,24.421,99.215,8.067,21.415,7.081,1.356,0.957,0.168,84.155,9.441
2018-07-01,227.510,503.582,69.958,1.758,78.803,1.211,43.763,245.832,24.397,22.032,3.267,3.337,0.407,6.602,549.755,8.684,0.965,0.477,3.428,17.874,27.467,105.269,9.753,23.054,7.335,1.496,1.001,0.181,85.051,9.788
2019-07-01,225.190,499.133,69.261,1.522,77.664,1.150,44.465,247.759,24.495,21.829,3.164,3.323,0.402,6.645,550.481,8.746,0.933,0.464,3.438,20.667,30.647,110.807,8.234,24.604,7.400,1.631,1.022,0.192,85.924,10.121
2020-07-01,222.944,495.387,68.686,1.338,76.467,1.150,47.957,248.717,24.619,21.632,3.072,3.325,0.397,6.637,552.623,8.765,0.907,0.456,3.454,23.673,33.920,116.374,8.013,26.080,7.409,1.788,1.040,0.206,86.943,10.467
2021-07-01,220.583,491.415,68.080,1.180,75.285,1.095,50.271,249.056,24.673,21.383,2.981,3.335,0.397,6.620,552.111,8.837,0.898,0.467,3.490,27.363,37.536,121.941,6.644,28.021,7.529,1.961,1.065,0.217,87.755,10.849
2022-07-01,218.388,487.595,67.531,1.053,74.270,1.026,49.897,248.504,24.647,21.110,2.890,3.333,0.397,6.493,545.777,8.911,0.887,0.496,3.507,31.490,41.575,127.366,7.266,29.870,7.669,2.126,1.077,0.232,88.658,11.224
2023-07-01,215.929,483.546,66.911,0.930,73.454,1.060,54.944,246.630,24.517,20.891,2.799,3.334,0.393,6.514,549.828,8.989,0.876,0.493,3.522,35.871,45.422,132.245,8.215,31.471,7.725,2.301,1.056,0.241,89.708,11.623
2024-07-01,NaN,NaN,NaN,0.821,NaN,1.091,57.161,243.949,24.455,20.593,2.699,3.326,0.387,6.593,555.321,9.021,0.859,0.487,3.530,40.747,49.452,137.322,7.842,33.361,8.241,2.488,1.000,0.249,90.805,NaN
2025-07-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
